reps,gt_mean_ns,gt_std_ns,gt_min_ns,gt_max_ns,gt_per_iter_ns,gt_tick_min_ns,gt_tick_mode_ns,gt_tick_gcd_ns,clk_mean_cycles,clk_std_cycles,clk_min_cycles,clk_max_cycles,clk_per_iter_cycles,clk_per_iter_ns_at_GHz,clk_tick_min_cycles
125,288.0,0.0,288,288,2.304,32,32,32,502.0,0.0,502,502,4.016,2.3904761904761904,7
126,288.0,0.0,288,288,2.2857142857142856,32,32,32,506.0,0.0,506,506,4.015873015873016,2.390400604686319,7
127,288.0,0.0,288,288,2.267716535433071,32,32,32,510.0,0.0,510,510,4.015748031496063,2.390326209223847,7
128,320.0,0.0,320,320,2.5,32,32,32,514.0,0.0,514,514,4.015625,2.3902529761904763,7
129,288.0,0.0,288,288,2.2325581395348837,32,32,32,518.0,0.0,518,518,4.015503875968992,2.3901808785529717,7
130,320.0,0.0,320,320,2.4615384615384617,32,32,32,522.0,0.0,522,522,4.015384615384615,2.39010989010989,7
131,288.0,0.0,288,288,2.198473282442748,32,32,32,526.0,0.0,526,526,4.015267175572519,2.3900399854598326,7
132,320.0,0.0,320,320,2.4242424242424243,32,32,32,530.0,0.0,530,530,4.015151515151516,2.38997113997114,7
133,320.0,0.0,320,320,2.406015037593985,32,32,32,534.0,0.0,534,534,4.015037593984962,2.3899033297529537,7
134,288.0,0.0,288,288,2.1492537313432836,32,32,32,538.0,0.0,538,538,4.014925373134329,2.3898365316275765,7
135,320.0,0.0,320,320,2.3703703703703702,32,32,32,542.0,0.0,542,542,4.014814814814815,2.3897707231040566,7
136,320.0,0.0,320,320,2.3529411764705883,32,32,32,546.0,0.0,546,546,4.014705882352941,2.389705882352941,7
137,352.0,0.0,352,352,2.5693430656934306,32,32,32,550.0,0.0,550,550,4.014598540145985,2.389641988182134,7
138,320.0,0.0,320,320,2.318840579710145,32,32,32,554.0,0.0,554,554,4.0144927536231885,2.3895790200138025,7
139,320.0,0.0,320,320,2.302158273381295,32,32,32,558.0,0.0,558,558,4.014388489208633,2.3895169578622815,7
140,320.0,0.0,320,320,2.2857142857142856,32,32,32,562.0,0.0,562,562,4.014285714285714,2.389455782312925,7
141,320.0,0.0,320,320,2.269503546099291,32,32,32,566.0,0.0,566,566,4.01418439716312,2.3893954745018573,7
142,352.0,0.0,352,352,2.4788732394366195,32,32,32,570.0,0.0,570,570,4.014084507042254,2.3893360160965798,7
143,352.0,0.0,352,352,2.4615384615384617,32,32,32,574.0,0.0,574,574,4.013986013986014,2.3892773892773893,7
144,352.0,0.0,352,352,2.4444444444444446,32,32,32,578.0,0.0,578,578,4.013888888888889,2.3892195767195767,7
145,320.0,0.0,320,320,2.206896551724138,32,32,32,582.0,0.0,582,582,4.0137931034482754,2.3891625615763545,7
146,320.0,0.0,320,320,2.191780821917808,32,32,32,586.0,0.0,586,586,4.013698630136986,2.3891063274624917,7
147,352.0,0.0,352,352,2.3945578231292517,32,32,32,590.0,0.0,590,590,4.01360544217687,2.389050858438613,7
148,352.0,0.0,352,352,2.3783783783783785,32,32,32,594.0,0.0,594,594,4.013513513513513,2.3889961389961387,7
149,352.0,0.0,352,352,2.3624161073825505,32,32,32,598.0,0.0,598,598,4.0134228187919465,2.3889421540428253,7
150,352.0,0.0,352,352,2.3466666666666667,32,32,32,602.0,0.0,602,602,4.013333333333334,2.388888888888889,7
151,352.0,0.0,352,352,2.3311258278145695,32,32,32,606.0,0.0,606,606,4.013245033112582,2.38883632923368,7
152,352.0,0.0,352,352,2.3157894736842106,32,32,32,610.0,0.0,610,610,4.0131578947368425,2.3887844611528823,7
153,352.0,0.0,352,352,2.3006535947712417,32,32,32,614.0,0.0,614,614,4.0130718954248366,2.3887332710862124,7
154,384.0,0.0,384,384,2.4935064935064934,32,32,32,618.0,0.0,618,618,4.012987012987013,2.388682745825603,7
155,384.0,0.0,384,384,2.47741935483871,32,32,32,622.0,0.0,622,622,4.012903225806451,2.38863287250384,7
156,384.0,0.0,384,384,2.4615384615384617,32,32,32,626.0,0.0,626,626,4.012820512820513,2.3885836385836385,7
157,384.0,0.0,384,384,2.445859872611465,32,32,32,630.0,0.0,630,630,4.012738853503185,2.388535031847134,7
158,384.0,0.0,384,384,2.430379746835443,32,32,32,634.0,0.0,634,634,4.012658227848101,2.3884870403857748,7
159,384.0,0.0,384,384,2.4150943396226414,32,32,32,638.0,0.0,638,638,4.012578616352202,2.388439652590596,7
160,384.0,0.0,384,384,2.4,32,32,32,642.0,0.0,642,642,4.0125,2.388392857142857,7
161,384.0,0.0,384,384,2.3850931677018634,32,32,32,646.0,0.0,646,646,4.012422360248447,2.3883466430050277,7
162,416.0,0.0,416,416,2.567901234567901,32,32,32,650.0,0.0,650,650,4.012345679012346,2.3883009994121105,7
163,384.0,0.0,384,384,2.355828220858896,32,32,32,654.0,0.0,654,654,4.012269938650307,2.3882559158632777,7
164,384.0,0.0,384,384,2.341463414634146,32,32,32,658.0,0.0,658,658,4.012195121951219,2.3882113821138207,7
165,384.0,0.0,384,384,2.327272727272727,32,32,32,662.0,0.0,662,662,4.012121212121212,2.3881673881673877,7
166,384.0,0.0,384,384,2.3132530120481927,32,32,32,666.0,0.0,666,666,4.0120481927710845,2.388123924268503,7
167,416.0,0.0,416,416,2.4910179640718564,32,32,32,670.0,0.0,670,670,4.0119760479041915,2.388080980895352,7
168,416.0,0.0,416,416,2.4761904761904763,32,32,32,674.0,0.0,674,674,4.011904761904762,2.3880385487528346,7
169,384.0,0.0,384,384,2.272189349112426,32,32,32,678.0,0.0,678,678,4.011834319526627,2.3879966187658495,7
170,416.0,0.0,416,416,2.447058823529412,32,32,32,682.0,0.0,682,682,4.011764705882353,2.387955182072829,7
171,416.0,0.0,416,416,2.4327485380116958,32,32,32,686.0,0.0,686,686,4.011695906432749,2.3879142300194935,7
172,384.0,0.0,384,384,2.2325581395348837,32,32,32,690.0,0.0,690,690,4.011627906976744,2.387873754152824,7
173,416.0,0.0,416,416,2.4046242774566475,32,32,32,694.0,0.0,694,694,4.011560693641618,2.387833746215249,7
174,416.0,0.0,416,416,2.3908045977011496,32,32,32,698.0,0.0,698,698,4.011494252873563,2.3877941981390256,7
175,416.0,0.0,416,416,2.3771428571428572,32,32,32,702.0,0.0,702,702,4.011428571428572,2.3877551020408165,7
176,416.0,0.0,416,416,2.3636363636363638,32,32,32,706.0,0.0,706,706,4.011363636363637,2.3877164502164505,7
177,416.0,0.0,416,416,2.3502824858757063,32,32,32,710.0,0.0,710,710,4.011299435028248,2.387678235135862,7
178,448.0,0.0,448,448,2.5168539325842696,32,32,32,714.0,0.0,714,714,4.01123595505618,2.3876404494382024,7
179,416.0,0.0,416,416,2.3240223463687153,32,32,32,718.0,0.0,718,718,4.011173184357542,2.3876030859271085,7
180,448.0,0.0,448,448,2.488888888888889,32,32,32,722.0,0.0,722,722,4.011111111111111,2.3875661375661377,7
181,448.0,0.0,448,448,2.4751381215469612,32,32,32,726.0,0.0,726,726,4.011049723756906,2.387529597474349,7
182,448.0,0.0,448,448,2.4615384615384617,32,32,32,730.0,0.0,730,730,4.010989010989011,2.3874934589220302,7
183,448.0,0.0,448,448,2.448087431693989,32,32,32,734.0,0.0,734,734,4.0109289617486334,2.3874577153265677,7
184,448.0,0.0,448,448,2.4347826086956523,32,32,32,738.0,0.0,738,738,4.010869565217392,2.3874223602484475,7
